framework              , test                                                         , time    
@vue/reactivity        , updateComputations2to1                                       , 40.64   
@vue/reactivity        , updateComputations4to1                                       , 39.75   
@vue/reactivity        , updateComputations1000to1                                    , 37.65   
@vue/reactivity        , updateComputations1to2                                       , 37.57   
@vue/reactivity        , updateComputations1to4                                       , 40.74   
@vue/reactivity        , updateComputations1to1000                                    , 38.38   
@vue/reactivity        , 10x5 - 2 sources - read 20% (simple component)               , 247.25  
@vue/reactivity        , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 221.57  
@vue/reactivity        , 1000x12 - 4 sources - dynamic (large web app)                , 2468.96 
@vue/reactivity        , 1000x5 - 25 sources (wide dense)                             , 2967.40 
@vue/reactivity        , 5x500 - 3 sources (deep)                                     , 146.28  
MobX                   , avoidablePropagation                                         , 531.52  
MobX                   , broadPropagation                                             , 1022.25 
MobX                   , deepPropagation                                              , 352.39  
MobX                   , diamond                                                      , 553.42  
MobX                   , mux                                                          , 488.99  
MobX                   , repeatedObservers                                            , 62.99   
MobX                   , triangle                                                     , 179.95  
MobX                   , unstable                                                     , 102.15  
MobX                   , molBench                                                     , 303.41  
MobX                   , createDataSignals                                            , 41.81   
MobX                   , createComputations0to1                                       , 43.01   
MobX                   , createComputations1to1                                       , 48.99   
MobX                   , createComputations2to1                                       , 45.98   
MobX                   , createComputations4to1                                       , 46.73   
MobX                   , createComputations1000to1                                    , 40.04   
MobX                   , createComputations1to2                                       , 45.88   
MobX                   , createComputations1to4                                       , 45.16   
MobX                   , createComputations1to8                                       , 43.96   
MobX                   , createComputations1to1000                                    , 45.21   
MobX                   , updateComputations1to1                                       , 43.90   
MobX                   , updateComputations2to1                                       , 40.86   
MobX                   , updateComputations4to1                                       , 39.15   
MobX                   , updateComputations1000to1                                    , 36.69   
